"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"18","6:18.2","1:56:54","1.00","6:18","6:15","147","152","9","1","281","4.07","345","5.00","171","267","50.5% S / 49.5% D","0.93","9.1","9.6","68","25.0","5:54","176","6:18","6:18","--","--"
"19","6:28.4","2:03:22","1.00","6:29","6:37","148","154","4","17","258","3.74","355","5.14","170","273","50.5% S / 49.5% D","0.91","9.1","9.7","66","24.0","6:07","177","6:28.4","6:28","--","--"
"20","6:48.0","2:10:10","1.00","6:48","6:45","144","151","6","9","255","3.70","358","5.19","162","270","50.5% S / 49.5% D","0.92","9.2","9.8","66","28.0","5:36","173","6:29","6:29","--","--"
"21","6:29.1","2:16:40","1.00","6:29","6:25","147","151","11","6","272","3.94","367","5.32","171","270","50.6% S / 49.4% D","0.90","9.1","9.9","65","28.0","6:15","174","6:29","6:29","--","--"
"22","6:26.5","2:23:06","1.00","6:27","6:25","149","152","8","5","276","4.00","330","4.78","170","268","51.0% S / 49.0% D","0.91","9.4","10.1","66","28.0","5:52","177","6:26","6:26","--","--"
"23","6:37.3","2:29:43","1.00","6:37","6:38","149","153","4","9","267","3.87","339","4.91","171","268","50.8% S / 49.2% D","0.89","9.3","10.3","67","28.0","5:56","173","6:37","6:37","--","--"
"24","6:34.1","2:36:17","1.00","6:34","6:33","151","155","8","1","276","4.00","362","5.25","170","271","50.5% S / 49.5% D","0.88","9.2","10.2","69","29.0","6:21","175","6:34.1","6:34","--","--"
"25","6:59.8","2:43:17","1.00","7:00","6:42","153","161","16","2","273","3.96","362","5.25","163","298","50.6% S / 49.4% D","0.89","9.2","10.2","72","28.0","5:48","173","6:59","6:59","--","--"
"26","0:16.5","2:43:34","0.04","6:56","5:47","159","162","4","0","375","5.43","410","5.94","168","272","50.4% S / 49.6% D","0.88","9.7","10.8","3","28.0","6:34","171","0:16","6:43","--","--"
"Riepilogo","2:43:34","2:43:34","25.04","6:32","6:31","145","162","131","118","267","3.87","436","6.32","169","271","50.6% S / 49.4% D","0.91","9.0","9.8","1,701","22.3","4:06","233","2:42:48","6:30","--","--"
